,,,,,,,
만 0~5세,예) 1,,,,,예) 음식 추천 등,
아이 나이,월별,사회성 / 감정,언어 / 소통,"인지 (학습, 사고, 문제 해결)",움직임 / 신체 발달,그 외 (Tip),자료 출처*
,60,,자신이 듣거나 만들어낸적어도 두 가지 사건이 포함된 이야기를 한다. 예: 고양이가 나무에 걸려 소방관이 고양이를 구했다,,,,cdc
,60,,책을 읽어주거나 이야기를 말해주면 그에 대한 간단한 질문에 답한다,,,,cdc
,60,,적어도 3번 이상의 주고받음이 있는 대화를 이어간다,,,,cdc
,60,,"간단한 운율(모자-과자, 해-새, 숟가락-젓가락 등)을 사용하거나 인식한다",,,,cdc
,60,,,10까지 센다,,,cdc
,60,,,1에서 5 사이의 숫자를 가리키면 숫자를 말한다,,,cdc
,60,,,"""어제"", ""내일"", ""아침"" 또는 ""밤""과 같이 시간에 관한 단어를 사용한다",,,cdc
,60,,,활동 중 5~10분 정도 집중한다. 예: 이야기 시간이나 미술 공예 시간 중(전자기기 사용 시간은 해당하지 않음),,,cdc
,60,,,자신의 이름에서 몇 개의 글자를 쓴다,,,cdc
,60,,,글자를 가리키면 글자를 말한다,,,cdc
,60,,,,일부 단추를 채운다,,cdc
,60,,,,한 발로 깡충깡충 뛴다,,cdc
